"Dr. Richard H. Linton has been named the 15th President of Kansas State University by the Kansas Board of Regents.

We welcome the Linton family to #KState and look forward to a promising future.",12/2/2021 11:06,"Congratulations
President Linton! We are all rooting for you. Welcome to the family.",Welcome Dr. Linton. Purple looks good on you!,Congrats Dr. Linton! Excited to have a land-grant alumnus leading our alma mater!,Welcome to KSU and Manhattan!,WOW! From my current university NC State University to my alma mater! Congrats Dr. Linton::: we will miss you at NCSU::: but I hope you fall in love with Kansas State University and Manhattan!,"Congratulations
and welcome to the #Family! 💜",Looks like a great choice!,"Congratulations
👏 👏!",Welcome to KSU,Welcome to Manhattan and KSU !,"Congratulations
and welcome to K-State!","Congratulations
Mr. President","Congratulations
Dr. Linton! All the best.","KANSAS ST. vs SOUTH CAROLINA
📺Watch live : http://
knoketv.realunit
edsports.com/
ncaa.php",Another old white man. That is surprising.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K-State Engineering offers 12 undergraduate and 26 graduate programs to Wildcats.

Visitors will notice lamp posts inside the complex lighting the way for future engineers. Visit engg.k-state.edu/ to learn more about the programs.",11/4/2021 21:59,Come to KSTATE and tour.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/28/2021 19:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caterina Scoglio and Barbara Valent have earned the Distinguished Graduate Faculty Award for excellence in research and graduate teaching.

Dr. Scoglio is a professor in the Mike Wiegers Department of Electrical and Computer Engineering. She is an internationally recognized expert in the field of network science and contact-network models for epidemic spreading.

Dr. Valent is a university distinguished professor of plant pathology. She is an internationally recognized scholar and made contributions to our understanding of plant diseases that threaten global food security. Read more about the two award recipients at www.k-state.edu/media/newsreleases/2021-10/dist-grad-faculty-award102721.html.",10/28/2021 15:12,"Congratulazioni
Caterina😘🥂",Complimenti!!!,"Grande Caterina . Congratulazioni
vivissimi ! 👏👏👏",Caterina congratulazioni,"Congratulazioni
Caterina",Brava congratulazioni,Brava Caterina. Congratulazioni,congratulazioni,"Congratulazioni
!!!","Vivissime congratulazioni
::: Caterina.",Outstanding and congratulations,"Congratulazioni
!","Congratulazioni
Caterina! 🌹",Brava brava Caterina!,"Congratulations
!!!!","Congratulations
Caterina Scoglio!",Bravissima e per noi sei un grande orgoglio. 😘❤👏👏👏👏👏,Congratulations,"Congratulazioni
Caterina","Congratulazioni
Caterina::: orgoglio Monfortese!","Congratulazioni
alla dott.ssa Caterina Scoglio",Complimenti,Grazie a tutti di cuore! Thank you so much!,"Congratulations
Dr. Scoglio!","Congratulazioni
dott.ssa Scoglio","Congratulazioni
un orgoglio per noi monfortesi",Congratulations,"Congratulations
! ❤️❤️","Congratulazioni
! Bravissima !","Congratulazioni
Caterina 👏🏼","Congratulations
::: Drs. Scoglio and Valent !!!!","Congratulations
!!!","Congratulazioni
Drs. Scoglio and Valent 👏👏❤️🤗😘","Congratulazioni
dalla tua Sicilia","Congratulations
Drs. Scoglio and Valent!",🔝,"Congratulations
!",❤,"Bravissima Caterina! Congratulazioni
!!!",Congratulazione,"Bravissima congratulazioni
😘","Congratulazioni
Caterina!!!","Congratulazioni
cara Caterina!👏",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Are you trying to schedule your COVID-19 vaccine appointment? Visit www.vaccines.gov to find providers or businesses in your area with openings. #EWAW

VACCINES.GOV
Find COVID-19 vaccine locations near you",10/27/2021 19:59,Not a vaccine. Cut the bull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scholarships make academic dreams come true.

Visit k-state.edu/apply to learn about $54+ million in scholarship and award opportunities available for K-State students.",10/26/2021 20:59,I would like to apply for my Ed. Doctorate at KSU. I miss this awesome campus. 😌 Good memories of my college days. Greetings from Ecuador!!! 🇪🇨,Paty Cargua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#dogsofkstate,10/25/2021 17:15,Gorgeous,Janette Hennekes Keen,Danny Callahan,Sara Wittich,Yes::: it's quite a view! 🐾,Scott Cable,This is perfect timing— We just got my dog a jersey!,Weston Schwartz,Charlotte Marquis,EDAW????,Julie Locher,Jon Bradford,I know a place that I love full well! #dogsofkstate,Love!,I love Kansas State University & Kansas University! Each is a Good school! My mother graduated from Kansas State University & my dad from Kansas University! These were back in the days when fewer people had college degrees!,Nicole Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It might be corny::: but you can't help falling for K-State. 🍁🍂,10/22/2021 13:36,Miss it greatly,Wonderful,I prefer wheaty to corny::: but.. yes 💜,Jillian Glick I love K-State::: but it’s not corny! Haha,No Vax.,It is a very lovely campus.,Ever grateful to K State for giving military wives a tuition break when I attended and graduated.,Love the KSU Campus.,Beautiful photos!,I miss fall at Kansas State University. This was 3 years ago and I still can’t get over how beautiful campus always was in the fall,Wow so nice,"https://
www.k-state.edu/
media/
newsreleases/
2021-09/
Princeton-review
-lists9221.html",Love the older limestone buildings. 💜💜,One of the best looking universities in the country.,Yea STATE ! Go K-State !,Created some great memories there ...,Just visited this campus with my daughter yesterday. Stunning!!!!,"Texas Tech Red Raiders 🆚 Kansas State Wildcats
https://
panther.rubuhtv.
com/ncaaf.php","https://
www.facebook.com
/ChuckLongIowa/. We need a offensive coordinator",Truth!,I couldn’t help but falling in love at K-State in the Fall!! Now::: our daughter is following her heart AND Willie…,It’s a pretty campus.,Such a gorgeous campus,This goregous campus will be my home soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A lot has changed since 1998 – our campuses::: fashion::: hairstyles. But::: K-State still offers students a great education! #TBT,10/21/2021 14:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lafene Counseling and Psychological Services offers a variety of resources::: including individual therapy and workshops::: to students at little to no cost.

Workshops are a safe space for students to discuss and reflect on a specific topic with an expert. All workshops are currently being held virtually. Learn more about the fall semester workshops and services offered at www.k-state.edu/counseling/services/index.html.",10/19/2021 15:38,Love them!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You never know who you'll run into on a campus visit!

Future students had the opportunity to spend a few minutes talking with President Myers and Provost Taber last week after finding them in the Staley School of Leadership Studies.

Interested in a campus tour? Schedule one today at k-state.edu/visit.",10/18/2021 17:45,A rare platform for the future leaders. God bless you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
