"Boston College will celebrate students who are the first in their families to attend college later this week with a slate of events and activities::: highlighted by the national observance of First-Gen Day on Nov. 8.

BC.EDU
BC celebrates first-generation students",2021-11-02 16:22:02,How we register with Boston College?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In addition to wearing many hats::: Elizabeth Pierre::: a Boston College School of Social Work master’s student and program coordinator at The Center for Teen Empowerment::: Inc. in Somerville::: also has a few crowns—or::: more specifically::: tiaras—in her closet.

BC.EDU
A platform to empower",2021-11-02 12:43:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The dean’s position at Boston College Law School will be named the Marianne D. Short::: Esq.::: Law School Deanship::: as a result of a $10 million gift from Trustee Marianne Short NC '73::: JD '76::: the school’s most generous benefactor.

BC.EDU
$10M gift will establish Marianne D. Short::: Esq.::: Law School Deanship",2021-11-01 12:51:03,What a generous gift. It speaks highly of the education::: and formation that Judge Short received during her time at BC & BC Law School.,Thank you::: also::: thank you for representing Newton College of the Sacred Heart::: which I remember so fondly.,thank you for the generosity of Trustee Marianne Short NC '73::: JD '76,I have met Marianne at local Minnesota Alumni events in the past. She is carrying on the Jesuit tradition in service to others above self. This is an incredible gift and her legacy will live on.,I live for the day I can make a gift like this! How wonderful.,What a generous and thoughtful person.👍🏻😍🇺🇸🙏,What a wonderful gift - and I love the gratitude and inspiration behind it!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wishing all a safe and happy Halloween. 🎃,2021-10-31 14:22:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crossing the finish line at the Boston Marathon is a momentous occasion for any runner::: but for Boston College Lynch School of Education and Human Development senior Olivia Colombo::: it marked the end of a journey much longer than 26.2 miles.

BC.EDU
More than a marathon",2021-10-30 13:14:02,A phenomenal story of persistence. People know their bodies. I’m so glad Olivia had the support to keep pushing for the diagnostic workup eventually leading to her beginning to heal!,Happy to hear lots of this good news!,Goes to show you when it comes to healthcare::: it’s a team sport. Patient and doc actively participating in the care. Kudos to Olivia and Dr Costa for not only being persistent on finding the answer but insistent. Inspiring story!,Amazing story of persistence and insistence! Easy to believe she’s an Eagle!,"Congratulations
::: Olivia! Bravo to you for your persistence. Once again::: MDs thinking it’s “all in your head” - so frustrating",Amazing story of courage and hope!,Perseverance::: strength and determination! This Eagle is going to soar!🦅,You go girl! Olivia you are a true inspiration!,Wow::: what an accomplishment!,Oh my gosh::: amazing. Strong and brave is right!,Congrats::: Liv!!!,❤️💛❤️💛,Strong and brave::: indeed!,Fortitude!!!!,SUPERSTARRRRRRR😘😘😘😘😘💗💗💗💗❤️❤️❤️❤️🥰🥰🥰😇😇😇😇😇✨✨✨💜💜💜💜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A virtual expo for students in the Boston College - Woods College of Advancing Studies' M.S. in Applied Economics program combines the recruiter networking of a ""reverse"" career fair with elements of a research showcase.

BC.EDU
MSAE hosts virtual reverse career fair",2021-10-29 12:54:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An active artist in Boston’s theater scene since the 1990s::: accomplished director::: producer::: and educator Summer L. Williams has joined the Boston College Theatre Department this academic year as the Monan Professor in Theatre Arts.

BC.EDU
Summer L. Williams is BC's new New Monan Professor in Theatre Arts at Boston College",2021-10-28 12:49:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When Boston College Connell School of Nursing graduate student Cameron Howe ’18::: DNP ’23 saw a Boston Marathon runner struggling to breathe::: he knew how to help save her life.

BC.EDU
Always on duty",2021-10-27 16:32:01,B.C.SON provides the best nursing education. the best nurses come out of the program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston College will send a delegation of faculty and students to observe the United Nations Climate Change Conference::: which begins Sunday in Glasgow.

BC.EDU
BC to send delegation to COP26",2021-10-27 13:01:01,Good. Now divest from fossil fuels please. ♥️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A gift intention will establish the Clifford and Kitz Chair in the Hebrew Bible/Old Testament::: in honor of Boston College School of Theology and Ministry Professor Emeritus Richard J. Clifford::: S.J.::: the school's founding dean.

The chair will be made possible through the generosity of BC alumna Anne Marie Kitz M.A.T. ’80::: M.Div. ’84::: a religious scholar::: educator::: and author who has known Fr. Clifford for 40 years.

BC.EDU
Gift intention will establish endowed chair at Boston College's School of Theology and Ministry",2021-10-26 13:04:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
